lower_bound,upper_bound,count
0,1023,2810
1024,2047,1148
2048,3071,728
3072,4095,557
4096,5119,402
5120,6143,332
6144,7167,299
7168,8191,206
8192,9215,184
9216,10239,183
10240,11263,135
11264,12287,147
12288,13311,148
13312,14335,108
14336,15359,90
15360,16383,100
16384,17407,90
17408,18431,88
18432,19455,70
19456,20479,49
20480,21503,51
21504,22527,50
22528,23551,48
23552,24575,60
24576,25599,27
25600,26623,34
26624,27647,39
27648,28671,31
28672,29695,39
29696,30719,44
30720,31743,24
31744,32767,24
32768,33791,32
33792,34815,30
34816,35839,22
35840,36863,31
36864,37887,12
37888,38911,15
38912,39935,21
39936,40959,16
40960,41983,17
41984,43007,19
43008,44031,17
44032,45055,7
45056,46079,10
46080,47103,16
47104,48127,11
48128,49151,8
49152,50175,10
50176,51199,13
51200,52223,14
52224,53247,15
53248,54271,7
54272,55295,8
55296,56319,7
56320,57343,9
57344,58367,7
58368,59391,15
59392,60415,28
60416,61439,14
61440,62463,9
62464,63487,13
63488,64511,9
64512,65535,7
65536,66559,7
66560,67583,7
67584,68607,8
68608,69631,8
69632,70655,5
70656,71679,5
71680,72703,5
72704,73727,6
73728,74751,10
74752,75775,10
75776,76799,2
76800,77823,7
77824,78847,4
78848,79871,8
79872,80895,3
80896,81919,6
81920,82943,1
82944,83967,8
83968,84991,2
84992,86015,4
86016,87039,3
87040,88063,3
88064,89087,2
89088,90111,1
90112,91135,1
91136,92159,2
92160,93183,2
94208,95231,1
95232,96255,6
96256,97279,2
97280,98303,4
98304,99327,8
99328,100351,3
100352,101375,1
101376,102399,2
102400,103423,3
103424,104447,2
104448,105471,5
105472,106495,1
106496,107519,4
107520,108543,3
108544,109567,4
109568,110591,2
110592,111615,2
111616,112639,1
112640,113663,2
113664,114687,3
114688,115711,2
115712,116735,1
116736,117759,2
117760,118783,3
118784,119807,2
119808,120831,1
121856,122879,2
122880,123903,2
123904,124927,3
124928,125951,2
125952,126975,1
128000,129023,3
129024,130047,5
130048,131071,2
131072,132095,4
133120,134143,1
134144,135167,2
135168,136191,2
137216,138239,2
139264,140287,2
141312,142335,2
142336,143359,2
144384,145407,1
145408,146431,3
146432,147455,6
148480,149503,1
149504,150527,3
151552,152575,1
152576,153599,1
153600,154623,1
154624,155647,1
155648,156671,2
156672,157695,1
157696,158719,6
158720,159743,1
159744,160767,1
161792,162815,1
164864,165887,1
166912,167935,1
167936,168959,1
169984,171007,1
173056,174079,2
174080,175103,1
175104,176127,2
176128,177151,1
177152,178175,2
178176,179199,2
179200,180223,1
180224,181247,1
186368,187391,1
188416,189439,2
192512,193535,1
193536,194559,2
195584,196607,1
196608,197631,1
200704,201727,1
202752,203775,1
204800,205823,3
205824,206847,3
206848,207871,1
207872,208895,1
208896,209919,2
209920,210943,1
211968,212991,1
215040,216063,1
218112,219135,1
222208,223231,1
223232,224255,1
224256,225279,2
228352,229375,1
231424,232447,1
235520,236543,1
236544,237567,1
240640,241663,1
246784,247807,1
250880,251903,4
252928,253951,2
253952,254975,1
257024,258047,1
266240,267263,1
267264,268287,1
269312,270335,1
274432,275455,1
277504,278527,3
281600,282623,1
285696,286719,1
286720,287743,1
288768,289791,1
291840,292863,1
304128,305151,1
310272,311295,1
311296,312319,1
319488,320511,1
320512,321535,2
322560,323583,1
329728,330751,1
330752,331775,1
339968,340991,1
342016,343039,1
345088,346111,2
346112,347135,2
351232,352255,1
353280,354303,1
354304,355327,2
355328,356351,1
358400,359423,1
363520,364543,1
366592,367615,1
368640,369663,1
371712,372735,1
378880,379903,1
400384,401407,1
419840,420863,1
424960,425983,1
427008,428031,1
437248,438271,1
442368,443391,1
447488,448511,1
465920,466943,1
512000,513023,1
514048,515071,1
518144,519167,1
538624,539647,1
568320,569343,2
573440,574463,1
585728,586751,1
586752,587775,1
626688,627711,1
632832,633855,1
640000,641023,1
641024,642047,1
651264,652287,1
662528,663551,1
703488,704511,1
704512,705535,1
731136,732159,1
734208,735231,1
748544,749567,1
754688,755711,1
755712,756735,1
774144,775167,1
785408,786431,1
808960,809983,1
835584,836607,2
931840,932863,1
954368,955391,1
975872,976895,1
986112,987135,1
1078272,1079295,1
1173504,1174527,1
1330176,1331199,1
1387520,1388543,1
1402880,1403903,1
1434624,1435647,1
1463296,1464319,1
1505280,1506303,1
1641472,1642495,1
1649664,1650687,1
1800192,1801215,1
1837056,1838079,1
2486272,2487295,1
2833408,2834431,1
3356672,3357695,1
3676160,3677183,1
4786176,4787199,1
5141504,5142527,1
5739520,5740543,1
8019968,8020991,3
8720384,8721407,1
10460160,10461183,1
25367552,25368575,1
